success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
False,INFEASIBLE_STEP1,,0.0,0.0,4.8990057720047595,1,0,496.1119580111699,496.1119580111699,0.025,50,1.25,Vanilla MPC,86,300,42,7.7,5.1
True,REACHED,0.7750000000000004,0.7750000000000004,20.028411697274137,0.1287436393542711,0,31,110.1825993865796,3415.6605809839675,0.025,50,1.25,Vanilla MPC,87,300,42,7.7,5.1
True,REACHED,1.125,1.125,28.292392014680903,3.0341200535076337e-06,0,45,107.49794444483187,4837.407500017434,0.025,50,1.25,Vanilla MPC,88,300,42,7.7,5.1
True,REACHED,1.125,1.125,29.867018275290004,4.0936945436742176e-06,0,45,111.56235466607744,5020.305959973484,0.025,50,1.25,Vanilla MPC,89,300,42,7.7,5.1
True,REACHED,0.8000000000000004,0.8000000000000004,16.664220623589657,0.0453561605686381,0,32,105.6236784088469,3379.957709083101,0.025,50,1.25,Vanilla MPC,90,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,5.893491440726705,1,0,736.8438330013305,736.8438330013305,0.025,50,1.25,Vanilla MPC,91,300,42,7.7,5.1
True,REACHED,1.2499999999999996,1.2499999999999996,39.66105154676503,1.5936952522368827e-06,0,50,101.7367350193672,5086.836750968359,0.025,50,1.25,Vanilla MPC,92,300,42,7.7,5.1
True,REACHED,0.9500000000000004,0.9500000000000004,17.280743434688997,4.656478175130843e-06,0,38,104.80957126434843,3982.763708045241,0.025,50,1.25,Vanilla MPC,93,300,42,7.7,5.1
True,REACHED,0.8250000000000004,0.8250000000000004,16.72891995741338,1.956878717720296e-06,0,33,95.92372718113688,3165.4829969775164,0.025,50,1.25,Vanilla MPC,94,300,42,7.7,5.1
True,REACHED,1.0500000000000005,1.0500000000000005,28.677068383206535,1.7512171558854704e-06,0,42,113.50026178531282,4767.0109949831385,0.025,50,1.25,Vanilla MPC,95,300,42,7.7,5.1
True,REACHED,1.2749999999999997,1.2749999999999997,56.69078331815907,2.269728575214659e-06,0,51,121.72424190080788,6207.936336941202,0.025,50,1.25,Vanilla MPC,96,300,42,7.7,5.1
True,REACHED,1.2499999999999996,1.2499999999999996,55.861703256944025,2.1943140456695833e-06,0,50,111.8593791386229,5592.968956931145,0.025,50,1.25,Vanilla MPC,97,300,42,7.7,5.1
True,REACHED,1.3499999999999992,1.3499999999999992,57.6095254366335,5.617883456395522e-07,0,54,123.82250227636648,6686.4151229237905,0.025,50,1.25,Vanilla MPC,98,300,42,7.7,5.1
True,REACHED,0.3,0.3,11.40701206641392,7.620092577108419,0,12,137.09795824858398,1645.175498983008,0.025,50,1.25,Vanilla MPC,99,300,42,7.7,5.1
True,REACHED,0.7500000000000003,0.7500000000000003,30.12019659994872,1.1155166960147834e-06,0,30,119.6194096992258,3588.582290976774,0.025,50,1.25,Vanilla MPC,100,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,1.4566787727302752,1,0,476.9505830045091,476.9505830045091,0.025,50,1.25,Vanilla MPC,101,300,42,7.7,5.1
