success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,0.30500000000000016,0.30500000000000016,29184.679340919032,0.014697528320501974,0,61,346.49958059007537,21136.4744159946,0.005,40,0.2,Vanilla MPC,63,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,4.872357911466046,1,0,5967.163999986951,5967.163999986951,0.005,40,0.2,Vanilla MPC,64,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,23502.68297026596,0.0009103095086651081,0,60,341.21356246541836,20472.8137479251,0.005,40,0.2,Vanilla MPC,65,150,42,679.2,500.1
True,REACHED,0.2500000000000001,0.2500000000000001,5714.354645610977,3.3249385485221774,0,50,307.1648624999216,15358.24312499608,0.005,40,0.2,Vanilla MPC,66,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,8.719740636402017,1,0,7708.565207998618,7708.565207998618,0.005,40,0.2,Vanilla MPC,67,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,6.0375127295075135,1,0,7789.201334002428,7789.201334002428,0.005,40,0.2,Vanilla MPC,68,150,42,679.2,500.1
True,REACHED,0.27000000000000013,0.27000000000000013,9109.805107713766,0.13841281513930426,0,54,307.9491974249659,16629.25666094816,0.005,40,0.2,Vanilla MPC,69,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,1.06990496215586,1,0,8097.300541005097,8097.300541005097,0.005,40,0.2,Vanilla MPC,70,150,42,679.2,500.1
True,REACHED,0.30500000000000016,0.30500000000000016,25346.354003839788,0.00622476574826436,0,61,344.14465775494807,20992.824123051832,0.005,40,0.2,Vanilla MPC,71,150,42,679.2,500.1
True,REACHED,0.27000000000000013,0.27000000000000013,8010.2797712814045,9.993914229511347e-07,0,54,355.825314018552,19214.566957001807,0.005,40,0.2,Vanilla MPC,72,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,4.942168700638075,1,0,4540.873042002204,4540.873042002204,0.005,40,0.2,Vanilla MPC,73,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,3.6688213284376943,1,0,2458.1349159998354,2458.1349159998354,0.005,40,0.2,Vanilla MPC,74,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,17051.873034085667,4.82161548553961e-06,0,58,329.6392206024832,19119.074794944027,0.005,40,0.2,Vanilla MPC,75,150,42,679.2,500.1
True,REACHED,0.29500000000000015,0.29500000000000015,19860.764694555815,1.9732440232900217e-06,0,59,334.20753952533096,19718.244831994525,0.005,40,0.2,Vanilla MPC,76,150,42,679.2,500.1
True,REACHED,0.08,0.08,787.057546330108,9.653144240671146,0,16,289.8085129372703,4636.9362069963245,0.005,40,0.2,Vanilla MPC,77,150,42,679.2,500.1
True,REACHED,0.29500000000000015,0.29500000000000015,20578.78474251685,3.8343834951604094e-06,0,59,310.2776044750314,18306.37866402685,0.005,40,0.2,Vanilla MPC,78,150,42,679.2,500.1
True,REACHED,0.31000000000000016,0.31000000000000016,31243.06562443561,0.04512444910794855,0,62,311.9068441456259,19338.224337028805,0.005,40,0.2,Vanilla MPC,79,150,42,679.2,500.1
True,REACHED,0.31000000000000016,0.31000000000000016,30321.665319458894,0.06133918366191082,0,62,322.9525988713102,20023.061130021233,0.005,40,0.2,Vanilla MPC,80,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,16955.566561839936,1.1874546128609609e-06,0,58,333.25585281147204,19328.83946306538,0.005,40,0.2,Vanilla MPC,81,150,42,679.2,500.1
True,REACHED,0.28000000000000014,0.28000000000000014,10636.102047231776,7.211471828583171e-07,0,56,318.78154158896774,17851.766328982194,0.005,40,0.2,Vanilla MPC,82,150,42,679.2,500.1
True,REACHED,0.09500000000000001,0.09500000000000001,972.6331657517184,8.464996271062246,0,19,275.9217038945185,5242.512373995851,0.005,40,0.2,Vanilla MPC,83,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,24467.120646715095,0.0012396858289243085,0,60,346.2452589682168,20774.715538093005,0.005,40,0.2,Vanilla MPC,84,150,42,679.2,500.1
True,REACHED,0.30500000000000016,0.30500000000000016,26271.390622081446,0.016761711756412723,0,61,342.4450970001015,20889.15091700619,0.005,40,0.2,Vanilla MPC,85,150,42,679.2,500.1
True,REACHED,0.27000000000000013,0.27000000000000013,9416.630779791529,2.59966690485669e-06,0,54,311.1343850377361,16801.256792037748,0.005,40,0.2,Vanilla MPC,86,150,42,679.2,500.1
True,REACHED,0.2000000000000001,0.2000000000000001,2777.928805279581,6.3056460291675425,0,40,293.2354395517905,11729.41758207162,0.005,40,0.2,Vanilla MPC,87,150,42,679.2,500.1
True,REACHED,0.1950000000000001,0.1950000000000001,2339.7437201743805,5.439481300602732,0,39,283.7240471286723,11065.23783801822,0.005,40,0.2,Vanilla MPC,88,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,17575.301627394096,4.030610721628136e-06,0,58,295.4244986211616,17134.620920027373,0.005,40,0.2,Vanilla MPC,89,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,18082.144494887587,2.0117167132127634e-06,0,58,280.59671337918,16274.60937599244,0.005,40,0.2,Vanilla MPC,90,150,42,679.2,500.1
True,REACHED,0.31000000000000016,0.31000000000000016,31571.554726134545,0.0965327151894364,0,62,301.16629300121735,18672.310166075476,0.005,40,0.2,Vanilla MPC,91,150,42,679.2,500.1
True,REACHED,0.28500000000000014,0.28500000000000014,14224.846177737769,6.815641864221789e-07,0,57,308.8325920163474,17603.457744931802,0.005,40,0.2,Vanilla MPC,92,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,8.566338346170125,1,0,6969.362167001236,6969.362167001236,0.005,40,0.2,Vanilla MPC,93,150,42,679.2,500.1
True,REACHED,0.27500000000000013,0.27500000000000013,10595.296630950355,0.741568305317367,0,55,263.94832881765484,14517.158084971015,0.005,40,0.2,Vanilla MPC,94,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,24517.93733644609,0.001109048812557134,0,60,290.4153778511197,17424.92267106718,0.005,40,0.2,Vanilla MPC,95,150,42,679.2,500.1
True,REACHED,0.23000000000000012,0.23000000000000012,3545.4060282486375,1.1295290411870393,0,46,264.8188386965953,12181.666580043384,0.005,40,0.2,Vanilla MPC,96,150,42,679.2,500.1
True,REACHED,0.27000000000000013,0.27000000000000013,9504.98150904706,0.22683147168433493,0,54,268.20218896291743,14482.918203997542,0.005,40,0.2,Vanilla MPC,97,150,42,679.2,500.1
True,REACHED,0.24500000000000013,0.24500000000000013,5501.377108899727,5.168681024844497,0,49,237.46421173475065,11635.746375002782,0.005,40,0.2,Vanilla MPC,98,150,42,679.2,500.1
True,REACHED,0.2000000000000001,0.2000000000000001,2577.436253192288,6.9533222205809455,0,40,228.3266603753873,9133.066415015492,0.005,40,0.2,Vanilla MPC,99,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,5.467834750689015,1,0,3056.764375010971,3056.764375010971,0.005,40,0.2,Vanilla MPC,100,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,18354.50508936173,2.8597949341957474e-06,0,58,364.9926615531701,21169.574370083865,0.005,40,0.2,Vanilla MPC,101,150,42,679.2,500.1
True,REACHED,0.28500000000000014,0.28500000000000014,12581.571156103744,1.2534568405442315e-07,0,57,343.3111777011889,19568.73712896777,0.005,40,0.2,Vanilla MPC,102,150,42,679.2,500.1
True,REACHED,0.23500000000000013,0.23500000000000013,4451.410707933557,6.617237277691484,0,47,302.7448865326191,14229.009667033097,0.005,40,0.2,Vanilla MPC,103,150,42,679.2,500.1
True,REACHED,0.025,0.025,286.1557607060636,4.093382854282701,0,5,353.975283598993,1769.8764179949649,0.005,40,0.2,Vanilla MPC,104,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,23864.397856740703,0.0025096082420965615,0,60,347.1466742157645,20828.80045294587,0.005,40,0.2,Vanilla MPC,105,150,42,679.2,500.1
True,REACHED,0.08,0.08,802.4002133681909,12.4062955668356,0,16,324.5207004383701,5192.331207013922,0.005,40,0.2,Vanilla MPC,106,150,42,679.2,500.1
True,REACHED,0.2500000000000001,0.2500000000000001,5958.768844767118,3.2004063120170514,0,50,287.65641831909306,14382.820915954653,0.005,40,0.2,Vanilla MPC,107,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,5.869134596412604,1,0,5376.6160829982255,5376.6160829982255,0.005,40,0.2,Vanilla MPC,108,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,25175.779378574014,0.0035898277814201407,0,60,343.64823123372236,20618.893874023343,0.005,40,0.2,Vanilla MPC,109,150,42,679.2,500.1
True,REACHED,0.09500000000000001,0.09500000000000001,984.7590405760131,2.0863017391406196,0,19,320.01077205227614,6080.204668993247,0.005,40,0.2,Vanilla MPC,110,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,2.212258503216372,1,0,4163.288832991384,4163.288832991384,0.005,40,0.2,Vanilla MPC,111,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,6.977318810255641,1,0,4569.468166999286,4569.468166999286,0.005,40,0.2,Vanilla MPC,112,150,42,679.2,500.1
True,REACHED,0.2500000000000001,0.2500000000000001,4721.427889881747,1.910205186916869e-06,0,50,346.2888941797428,17314.44470898714,0.005,40,0.2,Vanilla MPC,113,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,22589.090628407823,0.00037527213055810194,0,60,325.8607951664696,19551.647709988174,0.005,40,0.2,Vanilla MPC,114,150,42,679.2,500.1
True,REACHED,0.28500000000000014,0.28500000000000014,13848.197146834807,3.04367793191318e-06,0,57,310.9349342973968,17723.29125495162,0.005,40,0.2,Vanilla MPC,115,150,42,679.2,500.1
True,REACHED,0.27500000000000013,0.27500000000000013,11072.70548424615,2.8127232400976254e-06,0,55,285.2218105814907,15687.199581981986,0.005,40,0.2,Vanilla MPC,116,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,5.38321204628278,1,0,5854.728749996866,5854.728749996866,0.005,40,0.2,Vanilla MPC,117,150,42,679.2,500.1
True,REACHED,0.2650000000000001,0.2650000000000001,7811.047988081415,0.9548893164803616,0,53,254.85058022742072,13507.080752053298,0.005,40,0.2,Vanilla MPC,118,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,7.601190466813335,1,0,3782.528750001802,3782.528750001802,0.005,40,0.2,Vanilla MPC,119,150,42,679.2,500.1
True,REACHED,0.2200000000000001,0.2200000000000001,3134.9679669576117,0.37896676379368444,0,44,276.65252370339164,12172.711042949231,0.005,40,0.2,Vanilla MPC,120,150,42,679.2,500.1
True,REACHED,0.28000000000000014,0.28000000000000014,12242.496459723265,8.264488773335188e-07,0,56,293.31613394658365,16425.703501008684,0.005,40,0.2,Vanilla MPC,121,150,42,679.2,500.1
True,REACHED,0.05499999999999999,0.05499999999999999,576.3185768666765,3.1558479347366397,0,11,232.30415145305662,2555.345665983623,0.005,40,0.2,Vanilla MPC,122,150,42,679.2,500.1
True,REACHED,0.23000000000000012,0.23000000000000012,4208.8740685946805,2.9246786336997728,0,46,239.11389130554872,10999.23900005524,0.005,40,0.2,Vanilla MPC,123,150,42,679.2,500.1
True,REACHED,0.29500000000000015,0.29500000000000015,21895.879655645065,3.4888771942576113e-06,0,59,303.92672742348975,17931.676917985897,0.005,40,0.2,Vanilla MPC,124,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,17427.341293028752,7.000982549243417e-07,0,58,306.7968146893565,17794.215251982678,0.005,40,0.2,Vanilla MPC,125,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,5.2065736360211305,1,0,3996.1371250101365,3996.1371250101365,0.005,40,0.2,Vanilla MPC,126,150,42,679.2,500.1
True,REACHED,0.2600000000000001,0.2600000000000001,6673.9546471535905,1.211922958432865e-06,0,52,307.923014442517,16011.996751010884,0.005,40,0.2,Vanilla MPC,127,150,42,679.2,500.1
True,REACHED,0.10000000000000002,0.10000000000000002,1023.8943950879972,9.912769360899146,0,20,219.6237790514715,4392.47558102943,0.005,40,0.2,Vanilla MPC,128,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,2.321975465507867,1,0,5784.640207988559,5784.640207988559,0.005,40,0.2,Vanilla MPC,129,150,42,679.2,500.1
True,REACHED,0.2650000000000001,0.2650000000000001,7851.264858059658,0.019892248103706933,0,53,305.9123450193339,16213.354286024696,0.005,40,0.2,Vanilla MPC,130,150,42,679.2,500.1
True,REACHED,0.2650000000000001,0.2650000000000001,8454.986866943915,0.8855535084754358,0,53,283.54591831953684,15027.933670935454,0.005,40,0.2,Vanilla MPC,131,150,42,679.2,500.1
